University,,,Total UK,European Union,Non-European Union,Total Non-UK,,,
Aberystwyth University,,,"7,070",445,900,"1,345",,,
Bangor University,,,"7,775",290,"2,715","3,005",,,
Cardiff University,,,"26,325",635,"5,760","6,395",,,
Cardiff Metropolitan University,,,"10,100",130,"3,315","3,445",,,
The Open University,,,"14,815",0,0,5,,,
Swansea University,,,"17,170",550,"3,780","4,330",,,
University of Wales Trinity Saint David,,,"15,305",160,"1,245","1,400",,,
University of South Wales,,,"18,925",470,"6,380","6,845",,,
Wrexham University,,,"6,610",225,"1,715","1,940",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
